"","Neighborhood","Cluster","Address","Reposting.ID","Description","Price","Bedrooms","Square.Footage","Link","ID","City"
"52","Center City",5,"(1900 Arch)",4447650604,"Brand New Apts Boasting Ultra Modern Finishes, Amenities & VIEWS!","$1,895 ",1,NA,"/apa/5541256260.html",5541256260,"Philadelphia"
"53","Center City",5,"(514 S 4th St)",NA,"Nice Trinity is Located on Gaskill Street Near 4th","$1,375 ",2,NA,"/apa/5498268216.html",5498268216,"Philadelphia"
"54","Center City",5,"(23 S 23rd St)",NA,"Beautiful Apartment Located 2 blocks from 30th Street Station","$2,500 ",1,NA,"/apa/5498252199.html",5498252199,"Philadelphia"
"55","Center City",5," (158 N Front St, Philadelphia, PA 19106)",NA,"3 Br + 3 Full and 2 Half Baths + GARAGE + New Construction FRONT ST","$4,025 ",3,3900,"/apa/5526302044.html",5526302044,"Philadelphia"
"56","Center City",5,"(1420 Locust St)",NA,"lovely 1BD/1BA condo is located on the 22nd floor of the Academy House","$1,995 ",1,NA,"/apa/5533487746.html",5533487746,"Philadelphia"
"57","Center City",5,"(33 N 3rd St)",NA,"beautiful Wood Floors, High Ceilings, Open den and Tremendous Light","$3,500 ",2,NA,"/apa/5533478698.html",5533478698,"Philadelphia"
"58","Center City",5,"(117 South st)",5338206373,"Great size 2 BR 1 BA in amazing location! Front and South st!","$1,350 ",2,NA,"/apa/5541331598.html",5541331598,"Philadelphia"
"59","Center City",5,"(1228-32 Arch St)",NA,"Tri-level Penthouse is what a Center City loft Should be","$3,950 ",2,NA,"/apa/5498314553.html",5498314553,"Philadelphia"
"60","Center City",5," (511 S 17th St, 2)",NA,"Lovely Rental Located in the Vibrant Rittenhouse Square Neighborhood","$2,650 ",2,1500,"/apa/5541845939.html",5541845939,"Philadelphia"
"61","Center City",5,"(2100 Walnut Street)",NA,"Updated One Bedroom In Rittenhouse!! *ONE MONTH FREE* Available NOW!!","$1,595 ",1,NA,"/apa/5541788238.html",5541788238,"Philadelphia"
"62","Center City",5,"(Center City)",NA,"Great Location, one bedroom","$700 ",1,NA,"/apa/5540557450.html",5540557450,"Philadelphia"
"63","Center City",5,"(Logan Square CC)",NA,"This one's for you!","$1,495 ",1,696,"/apa/5540816119.html",5540816119,"Philadelphia"
"64","Center City",5,"(Center City/Rittenhouse)",4906308950,"GREAT VALUE! renovated interior. full kitchen. laundry. elevator.","$1,895 ",1,NA,"/apa/5540835402.html",5540835402,"Philadelphia"
"65","Center City",5,"(PENN CENTER CITY UNIVERSITY CITY)",NA,"Largest unit in UNIVERSITY CITY with ENORMOUS PRIVATE ROOFDECK!!","$2,700 ",3,NA,"/apa/5541869119.html",5541869119,"Philadelphia"
"66","Center City",5,"(Center City)",NA,"Wooden flooring Two bedroom apartment","$700 ",2,NA,"/apa/5540557353.html",5540557353,"Philadelphia"
"67","Center City",5,"(20 N Front St)",NA,"2 Bedroom 2 Full bath w/balcony at Old City's Hottest Building","$2,500 ",2,NA,"/apa/5511400358.html",5511400358,"Philadelphia"
"68","Center City",5,"(Rittenhouse/Center City)",5530101458,"15th & Pine*spacious & bright apt*hardwood floors*full kitchen*laundry","$1,525 ",1,NA,"/apa/5540891471.html",5540891471,"Philadelphia"
"69","Center City",5,"(Walnut & 22nd Sts)",NA,"APARTMENT TOUR TODAY!! RITTENHOUSE SQ RENOVATED STUDIO/JR. 1 BDS!!!","$1,440 ",1,NA,"/apa/5502812991.html",5502812991,"Philadelphia"
"70","Center City",5,"(4th and Lombard)",5448240352,"Society Hill 2 or 3 br","$1,925 ",3,NA,"/apa/5541266605.html",5541266605,"Philadelphia"
"71","Center City",5,"(23rd St and Walnut St)",NA,"Upgraded Kitchen Appliances, W/D, Attached Garage","$2,279 ",1,1082,"/apa/5541151814.html",5541151814,"Philadelphia"
"72","Center City",5," (158 N Front St, Philadelphia, PA 19106)",NA,"3 Br + 3 Full and 2 Half Baths + GARAGE + New Construction FRONT ST","$4,025 ",3,3900,"/apa/5540703076.html",5540703076,"Philadelphia"
"73","Center City",5,"(4h and Lombard)",5455252066,"2 or 3 BR Society Hill","$1,925 ",3,NA,"/apa/5541634478.html",5541634478,"Philadelphia"
"74","Center City",5,"(1828 Spruce Street - Rittenhouse Square)",NA,"Massive Rittenhouse 1 Bed - Renovated Kitchen, W/D, Central Air!","$2,800 ",1,NA,"/apa/5525558262.html",5525558262,"Philadelphia"
"75","Center City",5,"(1900 ARCH STREET)",NA,"LOOKING FOR A GREAT PLACE TO LIVE WITH SUPERB AMENITIES? HERE IT IS!","$1,730 ",1,NA,"/apa/5541356171.html",5541356171,"Philadelphia"
"76","Center City",5," (2100 Delancey Pl, 1)",NA,"Elegant 2 Bedroom Bi-level Home With Lots of Amenities","$3,400 ",2,1050,"/apa/5541877980.html",5541877980,"Philadelphia"
"77","Center City",5," (2040 Market St Unit #610, Philadelphia, PA 19103)",NA,"Spacious 1 Br in Rittenhouse High Rise - Renovated - 20TH & MARKET ST","$1,861 ",1,730,"/apa/5526033281.html",5526033281,"Philadelphia"
"78","Center City",5,"(117 Chestnut st)",5116327687,"BEAUTIFUL Spacious 2 BR in Old City !!! :) Amazing location :)","$2,500 ",2,1500,"/apa/5541167492.html",5541167492,"Philadelphia"
"79","Center City",5,"(106 S. Front Street)",NA,"Fabulous find in old city","$1,545 ",1,822,"/apa/5540932661.html",5540932661,"Philadelphia"
"80","Center City",5," (158 N Front St, Philadelphia, PA 19106)",NA,"3 Br + 3 Full and 2 Half Baths + GARAGE + New Construction FRONT ST","$4,025 ",3,3900,"/apa/5527609410.html",5527609410,"Philadelphia"
"81","Center City",5,"(1600-18 Arch St)",NA,"Beautiful one bedroom for rent at The Phoenix","$1,800 ",1,NA,"/apa/5515271782.html",5515271782,"Philadelphia"
"82","Center City",5,"(Rittenhouse/Center City)",5536626657,"modern apt*HWD floors*full kitchen*W/D*doorman & gym*16th/Walnut","$2,270 ",2,NA,"/apa/5540831268.html",5540831268,"Philadelphia"
"83","Center City",5,"(225 South 18th Street)",4873933933,"Turn Key Rittenhouse Sq. wPool & Gym","$2,500 ",1,540,"/apa/5541020032.html",5541020032,"Philadelphia"
"84","Center City",5,"(CENTER CITY`)",4600339525,"RENT AT THE WESTERN UNION CONDO","$2,000 ",1,NA,"/apa/5498101354.html",5498101354,"Philadelphia"
"85","Center City",5,"(18th & Pine Sts)",NA,"RITTENHOUSE SQ APT TOURS TODAY!! LARGE RENOVATED 2 BEDS!!!","$2,300 ",2,NA,"/apa/5502812662.html",5502812662,"Philadelphia"
"86","Center City",5,"(Center City)",NA,"Available Now! 1BD/1BA, Hardwoods, Balcony, Washer & Dryer","$1,895 ",1,NA,"/apa/5540711201.html",5540711201,"Philadelphia"
"87","Center City",5,"(120 N Race St)",5364356701,"Available Now in Old City... 3 Bedroom Ultra Luxury Townhomes!","$3,500 ",3,3600,"/apa/5513629943.html",5513629943,"Philadelphia"
"88","Center City",5,"(471`2 Chestnut st)",NA,"Lovely 1BR unit with Central Air. Available July 7th.","$1,000 ",1,NA,"/apa/5527905336.html",5527905336,"Philadelphia"
"89","Center City",5,"(120 N Race St)",5364356701,"Available Now in Old City... 3 Bedroom Ultra Luxury Townhomes!","$3,500 ",3,3600,"/apa/5513628884.html",5513628884,"Philadelphia"
"90","Center City",5,"(19th and Spruce)",4616951847,"Newly Renovated One Bedroom Apt in Doorman Building- Rittenhouse Sq","$2,185 ",1,NA,"/apa/5541744790.html",5541744790,"Philadelphia"
"91","Center City",5,"(19th and Spruce)",4461768891,"One Bedroom Apt Tour! Rittenhouse Square! Renovated and Spacious Apts!","$1,815 ",1,NA,"/apa/5541743805.html",5541743805,"Philadelphia"
"92","Center City",5," (1944 South St Unit #2, Philadelphia, PA 19146)",NA,"4 Br 2.5 Ba at 20TH & SOUTH ST - Graduate Hospital - APRIL 2 MOVE-IN","$3,200 ",4,1900,"/apa/5540907569.html",5540907569,"Philadelphia"
"93","Center City",5,"(19th and Delancey)",4495431947,"Fantastic Two Bedroom Apt Tour! Rittenhouse Square! SUNDAY!","$2,995 ",2,NA,"/apa/5541741960.html",5541741960,"Philadelphia"
"94","Center City",5,"(1530 Spruce st)",NA,"Lovely 1BR unit available May 1st. Prime location. FREE month","$1,495 ",1,NA,"/apa/5516882995.html",5516882995,"Philadelphia"
"95","Center City",5,"(20 N Front St)",NA,"Beautiful Apartment in Old City's hottest building the Mercantile","$2,500 ",2,NA,"/apa/5511761587.html",5511761587,"Philadelphia"
"96","Center City",5,"(2121 Market St)",NA,"Luxury Apartments, 2121 Market Street Apartments Stunning City View","$1,530 ",1,NA,"/apa/5501320257.html",5501320257,"Philadelphia"
"97","Center City",5,"(115 N Mole St)",NA,"Located in the heart of Philadelphia, near Family court","$2,700 ",3,NA,"/apa/5511218998.html",5511218998,"Philadelphia"
"98","Center City",5,"(1931 Chestnut st)",5298452862,"Chestnut st in Rittenhouse Square! 2 BR/2 Full BATH","$1,850 ",2,NA,"/apa/5541343135.html",5541343135,"Philadelphia"
"99","Center City",5,"(1806 Rittenhouse Sq)",NA,"Beautiful Large 3 BRD 2BATH Condo at the Rittenhouse Savoy","$3,990 ",3,NA,"/apa/5503284921.html",5503284921,"Philadelphia"
"100","Center City",5,"(Philadelphia Avenue of the Arts)",4738036599,">Spacious Living Room and Bedroom Layouts","$3,200 ",3,NA,"/apa/5517008899.html",5517008899,"Philadelphia"
"101","Center City",5,"(1900 ARCH STREET)",NA,"GREAT 2BD/2BA AVAILABLE FOR MAY MOVE-IN AT A GREAT PRICE!","$2,860 ",2,NA,"/apa/5541343134.html",5541343134,"Philadelphia"
"102","Center City",5,"(1222 Arch)",5522983073,"Spacious One bedroom With Orignal Wood Floors","$1,545 ",1,NA,"/apa/5540764004.html",5540764004,"Philadelphia"
"103","Center City",5,"(1530 Spruce st)",NA,"Large, renovated 1BR unit in center city location.","$1,795 ",1,NA,"/apa/5518491157.html",5518491157,"Philadelphia"
"104","Center City",5,"(2032 Chestnut St)",NA,"Don't Miss Your Opportunity to Live in this Very Charming","$1,395 ",1,NA,"/apa/5511467428.html",5511467428,"Philadelphia"
"105","Center City",5,"(Center City South)",4941099068,"Granite~Hardwoods~Basement~Rear yard~Call quick, won't last!!","$1,800 ",2,NA,"/apa/5536957635.html",5536957635,"Philadelphia"
"106","Center City",5,"(115 N Mole St)",NA,"Located in the heart of Philadelphia, near Family court","$2,700 ",3,NA,"/apa/5511449413.html",5511449413,"Philadelphia"
"107","Center City",5,"(2220 Walnut Street)",5291757133,"Live The Rittenhouse High Life -- Without Breaking The Bank","$1,335 ",1,520,"/apa/5541021102.html",5541021102,"Philadelphia"
"108","Center City",5,"(1033 chestnut st)",4417908023,"LUXURY TWO-BEDROOM APARTMENT IN CENTER CITY","$1,650 ",2,800,"/apa/5513958147.html",5513958147,"Philadelphia"
"109","Center City",5,"(21& Chestnut St)",NA,"RiverWest 1 bedroom condo","$1,450 ",1,618,"/apa/5500749697.html",5500749697,"Philadelphia"
"110","Center City",5," (1701 South St Unit #4, Philadelphia, PA 19146)",NA,"Luxury Spacious 1 Br Unit - New Construction on 17TH & SOUTH ST - NEW","$1,800 ",1,650,"/apa/5540968266.html",5540968266,"Philadelphia"
"111","Center City",5,"(20 N Front St Unit #2E(19106))",NA,"Amazing And Luxuary 2BR Apartment","$2,500 ",2,1386,"/apa/5529256584.html",5529256584,"Philadelphia"
"112","Center City",5,"(Rittenhouse/Center City)",5536632780,"modern apt*HWD floors*full kitchen*W/D*doorman & gym*16th/Walnut","$1,560 ",1,NA,"/apa/5540829810.html",5540829810,"Philadelphia"
"113","Center City",5,"(2100 Walnut Street)",NA,"Beautifully Renovated One Bedroom!! *ONE MONTH FREE* Available NOW","$1,895 ",1,NA,"/apa/5541894185.html",5541894185,"Philadelphia"
"114","Center City",5," (1944 South St Unit #2, Philadelphia, PA 19146)",NA,"4 Br 2.5 Ba at 20TH & SOUTH ST - Graduate Hospital - APRIL 2 MOVE-IN","$3,200 ",4,1900,"/apa/5526149055.html",5526149055,"Philadelphia"
"115","Center City",5,"(1530 Spruce st)",5467788016,"Spacious 2 BR @ 16th & Spruce!!! Prime location. Available June 1","$2,295 ",2,NA,"/apa/5541175111.html",5541175111,"Philadelphia"
"116","Center City",5,"(224-30 W Rittenhouse Sq)",NA,"High-floor junior one bedroom condo, south view with balcony","$1,700 ",1,NA,"/apa/5515316603.html",5515316603,"Philadelphia"
"117","Center City",5,"(2220 Walnut Street - University City)",NA,"LIVE good, WORK good, PLAY good, LOOK good","$1,375 ",1,600,"/apa/5541078110.html",5541078110,"Philadelphia"
"118","Center City",5," (1500 Chestnut St Unit #18E, Philadelphia, PA 19102)",NA,"Gorgeous and Spacious 1 Br 1 Ba in Rittenhouse - 15TH & CHESTNUT","$1,800 ",1,789,"/apa/5541008593.html",5541008593,"Philadelphia"
"119","Center City",5,"(1600-18 Arch St)",NA,"Gorgeous renovated one bedroom for rent at The Phoenix","$2,200 ",1,NA,"/apa/5515283062.html",5515283062,"Philadelphia"
"120","Center City",5,"(Rittenhouse)",NA,"19XX Waverly St","$2,300 ",2,NA,"/apa/5540876364.html",5540876364,"Philadelphia"
"121","Center City",5,"(1900 ARCH STREET)",NA,"ROOFTOP DECK WITH PANORAMIC VIEWS OF THE CITY!","$1,730 ",1,NA,"/apa/5541350567.html",5541350567,"Philadelphia"
"122","Center City",5,"(2201 Cherry St)",NA,"Location, Size, Views & Covered Parking! Corner Unit","$2,200 ",2,NA,"/apa/5499511951.html",5499511951,"Philadelphia"
"123","Center City",5,"(1500 Locust st)",5298520990,"NO full month deposit :) || Indoor pool + GYM wamazing views |","$2,850 ",2,NA,"/apa/5541390454.html",5541390454,"Philadelphia"
"124","Center City",5,"(Avenue of the Arts)",5287851165,"Exquisite private apartment with gorgeous recessed lighting","$850 ",2,NA,"/apa/5502818163.html",5502818163,"Philadelphia"
"125","Center City",5,"(220 s. 16th St)",4865623305,"-TWO BEDROOM AVAILABLE for mid June!!*","$2,015 ",2,1000,"/apa/5540821089.html",5540821089,"Philadelphia"
"126","Center City",5,"(Rittenhouse Square (2220 Walnut St))",NA,"Affordable Living In Rittenhouse Area! On-Site Management! Bike Room!","$1,415 ",1,600,"/apa/5495516368.html",5495516368,"Philadelphia"
"127","Center City",5," (115 N Mole St, PA19102)",NA,"Amazing And Convenient 3BR/1BA Apartment","$2,600 ",3,1374,"/apa/5541796860.html",5541796860,"Philadelphia"
"128","Center City",5,"(2201 Cherry St Unit #801((19103)))",NA,"Spacious 2BR Apartmenet With Balcony","$2,200 ",2,1115,"/apa/5519383464.html",5519383464,"Philadelphia"
"129","Center City",5," (1420 Locust St Unit #22R,PA 19102)",NA,"Lovely 1BR/1BA Condo Apartment","$1,895 ",1,717,"/apa/5541521036.html",5541521036,"Philadelphia"
"130","Center City",5," (158 N Front St, Philadelphia, PA 19106)",NA,"3 Br + 3 Full and 2 Half Baths + GARAGE + New Construction FRONT ST","$4,025 ",3,3900,"/apa/5533645787.html",5533645787,"Philadelphia"
"131","Center City",5," (1600-18 Arch St Unit #1004,(19103))",NA,"Beautiful And Charming 1BR Apartment","$1,800 ",1,763,"/apa/5529612407.html",5529612407,"Philadelphia"
"132","Center City",5,"(33 N 3rd St Unit #3 PA (19106))",NA,"Stunning 2BR2BA Condo in an Elevator Building","$3,500 ",2,2010,"/apa/5514847584.html",5514847584,"Philadelphia"
"133","Center City",5,"(33 N 3rd St Unit #3(19106))",NA,"Stunning And Beautiful 2BR Apartment","$3,500 ",2,2010,"/apa/5529540298.html",5529540298,"Philadelphia"
"134","Center City",5,"(2614 Pine Street)",4906925624,"2614 Pine-Center City/Entire House/Public Park and Tennis Courts/rwp","$3,200 ",3,1100,"/apa/5541682877.html",5541682877,"Philadelphia"
"135","Center City",5,"(Center City)",NA,"Live The Goldtex Life - 1 Month Rent Free & 6 Months Parking","$2,775 ",1,950,"/apa/5541137665.html",5541137665,"Philadelphia"
"136","Center City",5,"(2220 Walnut Street)",5291757133,"FIRST LOOK: 1 Bedroom Apartment at The Roosevelt","$1,375 ",1,600,"/apa/5541784360.html",5541784360,"Philadelphia"
"137","Center City",5,"(1420 Locust St Unit #22R(19102))",NA,"Lovely And Ideally 1BR/1BA Apartmenent","$1,995 ",1,717,"/apa/5516388854.html",5516388854,"Philadelphia"
"138","Center City",5," (226 N 22nd St Unit #6L, PA19103)",NA,"Amazing And Luxuary 2BR Apartment","$2,700 ",2,1870,"/apa/5541616551.html",5541616551,"Philadelphia"
"139","Center City",5,"(224-30 W Rittenhouse Sq Unit #41)",NA,"Spacious Sunlit 1BR Apartment Perfect View","$1,850 ",1,740,"/apa/5541496717.html",5541496717,"Philadelphia"
"140","Center City",5,"(2220 Walnut Street - University City)",NA,"HURRY -- This Will Be Gone Soon! Rittenhouse Square","$1,415 ",1,520,"/apa/5540842568.html",5540842568,"Philadelphia"
"141","Center City",5," (1720-22 Lombard St Unit #PH1,(19146))",NA,"Spacious 1BR Apartment With Balcony","$2,350 ",1,29139,"/apa/5529168319.html",5529168319,"Philadelphia"
"142","Center City",5,"(210 Locust Street)",4371495904,"SOCIETY HILL TOWERS - MODERN & UPGRADED KITCHEN, BATHROOM, CLOSETS","$1,799 ",1,1750,"/apa/5526513986.html",5526513986,"Philadelphia"
"143","Center City",5," (1420 Locust St Unit #9E,(19102))",NA,"Newly Renovated 1BR/1BA Apartment","$1,975 ",1,861,"/apa/5529068266.html",5529068266,"Philadelphia"
"144","Center City",5,"(Rittenhouse1720 Lombard st)",NA,"Large, Bi-level 2BR/2BA unit with All utilities included! Free month!","$2,350 ",2,NA,"/apa/5501182335.html",5501182335,"Philadelphia"
"145","Center City",5," (2108 Pine, 1R)",NA,"Private Backard Space in Rittenhouse","$2,000 ",2,NA,"/apa/5534386872.html",5534386872,"Philadelphia"
"146","Center City",5,"(Loft District)",5281957837,"Beautiful Loft District Apartment For Rent","$3,925 ",3,NA,"/apa/5518360189.html",5518360189,"Philadelphia"
"147","Center City",5,"(22 S Front St Unit#603)",NA,"22 S Front Condos Uni Floor to Ceiling Windows","$2,500 ",2,NA,"/apa/5500937662.html",5500937662,"Philadelphia"
"148","Center City",5,"(50-56 N Front St)",NA,"Experience Lovely Old City, Classically Modern River Church Condominms","$1,850 ",1,NA,"/apa/5500936180.html",5500936180,"Philadelphia"
"149","Center City",5,"(1828 Spruce Street - Rittenhouse Square)",NA,"Beautiful Rittenhouse 2 Bed with Renovated Kitchen, W/d, Central Air!","$2,800 ",2,NA,"/apa/5533298701.html",5533298701,"Philadelphia"
